APOE3_Normal_names,APOE3_Normal_pvals,APOE3_Normal_logfoldchanges,APOE4_HighRisk_names,APOE4_HighRisk_pvals,APOE4_HighRisk_logfoldchanges
CD3EAP,0.0,0.67049307,COL3A1,0.0,0.6248611
LINC01483,0.0,0.3771756,SLAMF6,0.0,0.42061603
ARHGAP28,0.0,0.24110027,TENT5C,0.0,0.47963938
TOR4A,0.0,0.65295625,LINC02058,0.0,0.115120456
MATK,0.0,0.7605259,AL109613.1,0.0,-0.20937616
MPND,0.0,0.38936782,AC005253.1,0.0,0.17020145
CPLX2,0.0,0.45155972,AC016766.1,0.0,0.30351445
AC008083.2,0.0,0.44321653,TNF,0.0,0.72087026
CORO2A,0.0,0.489289,SLIT3,0.0,-0.1871649
NNMT,0.0,0.17916434,GFER,0.0,0.3657871
AC087280.2,0.0,0.14202243,PYHIN1,0.0,0.7653296
ZNF215,0.0,0.7031403,AL121917.1,0.0,-0.20352356
C2orf83,0.0,0.6279582,AC078923.1,0.0,0.41156414
AC079380.1,0.0,0.72977567,CCL5,0.0,0.7744247
RPA4,0.0,0.8711779,LINC02320,0.0,0.6754043
GLT1D1,0.0,0.6440802,IL7R,0.0,0.24661322
TMEM45B,0.0,0.8316301,AC103740.1,0.0,-0.13791946
KCNB2,0.0,0.5978033,LINC02694,0.0,0.14191721
FAM162B,0.0,0.37648293,PTGIS,0.0,0.060076687
RGS4,0.0,0.6968541,LINC02343,0.0,0.2775366
AC007448.4,0.0,0.8268517,AC135893.1,0.0,0.07694338
SLC38A5,0.0,0.96122295,ZWILCH,0.0,-0.05995066
AFF2,0.0,0.66150963,GAP43,0.0,0.35730216
LINC01693,0.0,0.79344225,COL24A1,0.0,0.3561654
FAM72A,0.0,0.48956314,ANO3,0.0,0.67189085
AC114689.3,0.0,0.4366985,FBLN2,0.0,0.3749401
AC083949.1,0.0,0.2726889,GPC3,0.0,0.22764489
SCHLAP1,0.0,0.2105217,AC007877.1,0.0,1.2220558
RNF207,0.0,0.42097303,FCAR,0.0,-0.10465474
C6orf163,0.0,0.8399413,FCGR2B,0.0,0.24695309
RWDD2B,0.0,0.9558234,MT-ND6,0.0,0.7574939
SNTG2,0.0,0.5715082,NT5DC2,0.0,0.019051397
LILRB5,0.0,0.69242287,MLPH,0.0,1.0954527
RAMP2,0.0,0.38229352,GJA4,0.0,0.6622097
ADAMTS2,0.0,0.6909689,GPR4,0.0,0.02797477
AC073569.2,0.0,0.06376371,CENPK,0.0,0.6879307
TRIM46,0.0,0.9339567,CCL4,0.0,0.8932797
BEX1,0.0,0.74421316,FOSL1,0.0,-0.092938006
PERP,0.0,0.9630638,LINC01934,0.0,0.5245016
HEYL,0.0,0.38305807,PWRN1,0.0,0.316339
SAMMSON,0.0,0.30527943,MEI4,0.0,0.13088927
DOCK8-AS1,0.0,1.1802605,LRRC25,0.0,0.60669464
GLYATL2,0.0,0.9190958,MEA1,0.0,0.057420496
CACNG2,0.0,0.7440543,CR1,0.0,0.35472575
AL355838.1,0.0,0.82822895,SPON2,0.0,0.54738224
NUSAP1,0.0,0.40963727,LINC00276,0.0,0.006706772
BRIP1,0.0,0.5009064,RGS14,0.0,0.5933256
AC105345.1,0.0,0.58433473,LINC00861,0.0,0.5988442
ZNF367,0.0,0.8526379,BCL11B,0.0,0.61949074
SOX7,0.0,0.76863205,KCNK2,0.0,0.28524154
VNN2,0.0,1.229334,AL136456.1,0.0,-0.17251214
CSPG4,0.0,1.2517879,PTGER4,0.0,-0.15999766
HSPA12B,0.0,1.1923004,MPZ,0.0,0.34398994
KCNE1,0.0,-0.013217727,RABGGTA,0.0,0.5490808
ZNF185,0.0,0.376926,AC004687.1,0.0,0.6997823
CPNE4,0.0,0.3823955,AL445213.2,0.0,1.1469314
AC092155.1,0.0,0.91176635,LSP1,0.0,0.17253156
CYP19A1,0.0,0.93392366,AC106729.1,0.0,0.20472434
NELL1,0.0,0.20493673,TP63,0.0,0.93879485
LINC02315,0.0,0.60284615,FBLIM1,0.0,1.4663403
MOV10L1,0.0,0.90463823,SEPTIN4-AS1,0.0,0.31907204
PPP1R1C,0.0,0.8643889,AC119396.1,0.0,0.3886074
CRNDE,0.0,0.60507584,LINC02316,0.0,0.761208
AP001059.3,0.0,0.14179033,PTH2R,0.0,0.0589465
HAVCR1,0.0,0.44764495,SIGLEC1,0.0,1.1510861
AGAP2,0.0,0.71491987,ITK,0.0,0.9498726
ZNF524,0.0,0.6346653,LINC01876,0.0,1.466062
DEGS2,0.0,0.9290236,ITGA8,0.0,-0.103429064
NYAP2,0.0,0.92066616,TC2N,0.0,1.0916172
CD36,0.0,0.9756044,AL355916.1,0.0,0.0811944
FALEC,0.0,1.1499935,AC009313.1,0.0,1.353025
NXPH1,0.0,0.4145089,SIGMAR1,0.0,-0.07019431
SLC35F4,0.0,0.15205961,RIMKLA,0.0,0.41216284
ISM1,0.0,0.62734777,CD7,0.0,1.630787
AL390860.1,0.0,0.84513485,Z97192.3,0.0,0.9544637
SLC5A4-AS1,0.0,0.8103331,HIST1H2BH,0.0,2.1456914
AKR1C2,0.0,0.5223227,CST7,0.0,1.3567135
CFD,0.0,0.8761673,AL031595.2,0.0,1.5693794
AL033504.1,0.0,0.5145471,S100A4,0.0,0.0774261
LINC02511,0.0,0.75811243,LINC02458,0.0,0.68418795
SLA2,0.0,1.099294,PARPBP,0.0,1.3153796
LNX1,0.0,0.9766588,ISG15,0.0,1.0462226
STMN2,0.0,0.8002421,ABRACL,0.0,0.1916401
TMEM159,0.0,1.4373646,MGP,0.0,1.5470567
BIRC3,0.0,0.49646834,COL13A1,0.0,0.9569897
DACH2,0.0,0.83925647,VMO1,0.0,1.7254062
SCARF2,0.0,1.2729647,APOL1,0.0,0.8752224
KLF4,0.0,0.30610394,PPM1M,0.0,0.67380345
HIF1A-AS1,0.0,0.5655428,CCN4,0.0,1.1405373
NID2,0.0,0.78408873,AC022126.1,0.0,0.65415114
CHRNA7,0.0,0.5154957,C5orf34,0.0,0.16693872
LINC00970,0.0,0.28103638,JMJD8,0.0,0.18948007
AC024901.1,0.0,0.5738684,AC011246.1,0.0,0.8393994
PDGFD,0.0,0.7594576,HTR7,0.0,2.2237701
ANKRD30BL,0.0,0.7299452,LINC01344,0.0,-0.043305866
AC000082.1,0.0,1.4065751,TBX2,0.0,1.7610178
SYNPR,0.0,0.9760814,AL359979.1,0.0,2.4868546
RAB3C,0.0,0.89034665,MRPL28,0.0,0.5040003
AP001372.1,0.0,1.1931303,PTGIR,0.0,1.3602766
SLC22A1,0.0,0.9547162,MTX1,0.0,0.98172516
CA4,0.0,0.86024886,DUSP23,0.0,1.4435501
NRG1,0.0,0.45069802,ACADL,0.0,1.1799396
TMC4,0.0,1.1865363,TEX14,0.0,0.012439075
GEMIN7,0.0,1.1663543,FBP1,0.0,-0.033616956
TEX29,0.0,1.5355281,SORCS3,0.0,0.46026233
SCN9A,0.0,1.1425925,C1QTNF1,0.0,0.7572624
LINC02580,0.0,0.78387845,PKP2,0.0,0.66645324
Z96074.1,0.0,0.7869456,CCK,0.0,0.43093276
ASIC2,0.0,0.44866785,LILRB2,0.0,1.3043698
PCDH11X,0.0,0.6968517,KCNG2,0.0,1.6510997
NEFL,0.0,1.1528839,AC011476.3,0.0,0.19601399
MICB,0.0,0.7188294,AC092131.1,0.0,1.986361
PIK3CD-AS2,0.0,0.5792314,SLC16A6,0.0,1.3596553
RBM20,0.0,0.9688212,SFTA1P,0.0,2.3495517
PGR-AS1,0.0,1.4712288,KANSL1-AS1,0.0,0.8258532
LBH,0.0,1.1184497,PDLIM1,0.0,2.0843198
POLE3,0.0,1.209785,IGFBP2,0.0,1.8799723
AP001341.1,0.0,0.7529679,AC004817.5,0.0,2.0038145
LSR,0.0,1.212144,RRAD,0.0,1.7201594
TCERG1L,0.0,1.5238105,AC137770.1,0.0,0.23237433
AC073115.2,0.0,1.890433,AL589693.1,0.0,0.12875998
PCSK2,0.0,1.243329,PCOLCE,0.0,0.53304684
GPR157,0.0,1.4505252,LINC00924,0.0,0.88258535
NRGN,0.0,0.9625646,SNX20,0.0,1.1036482
SCN3A,0.0,1.5937402,CD96,0.0,1.3712119
ADAMTS8,0.0,1.6184105,ADGRE1,0.0,3.3311648
CPS1,0.0,0.58333105,LINC01426,0.0,3.5560782
ENC1,0.0,1.3306509,DDX41,0.0,2.282808
AL161443.1,0.0,1.280834,IL12RB2,0.0,0.8852927
SHISA9,0.0,0.55654544,FBXO6,0.0,1.1443433
CPLX1,0.0,1.545617,SMOC2,0.0,1.6315767
NEFM,0.0,1.8099898,AC132803.1,0.0,1.1308175
AL136962.1,0.0,0.19727895,WAKMAR2,0.0,0.22823265
AC015802.4,0.0,1.1729751,ABCA9-AS1,0.0,1.2558619
LTB4R,0.0,-0.14138366,EMC9,0.0,1.4290746
VSNL1,0.0,0.63862944,GRIN2B,0.0,-1.1116362
AC073332.1,0.0,0.7503047,SLAMF8,0.0,3.0440495
FENDRR,0.0,1.6285163,SLC22A3,0.0,0.048499443
FOXD1,0.0,2.0161066,DNASE1L1,0.0,0.9530651
PELO,0.0,0.15957302,SLC2A6,0.0,-0.25386393
AC100858.3,0.0,2.02609,BANK1,0.0,0.51312923
NOS3,0.0,1.6862682,AL133259.1,0.0,1.6102946
TINAGL1,0.0,1.8472793,LINC01322,0.0,-0.019179989
PCSK1N,0.0,0.3859085,SNHG26,0.0,0.4473033
LINC02576,0.0,1.023346,ACAP1,0.0,1.124328
CCN2,0.0,1.4084193,AP000240.1,0.0,3.5871954
TMEM121B,0.0,0.4692424,PCDH18,0.0,3.0343888
AC009522.1,0.0,0.6262507,SAMD3,0.0,1.0810235
PCNA,0.0,1.2556268,CCDC71L,0.0,1.2259852
KMO,0.0,1.9973296,MSC-AS1,0.0,0.76879233
OLFM3,0.0,1.8027852,AL355612.1,0.0,0.7720127
CENPB,0.0,1.182992,RMDN2-AS1,0.0,0.8467763
MFSD9,0.0,0.94063705,AC068286.2,0.0,0.31720835
AC008875.3,0.0,1.7002225,TWF2,0.0,0.80618095
LINC01250,0.0,1.2865154,CYSLTR2,0.0,0.7024679
AC018742.1,0.0,1.093985,EMILIN2,0.0,2.6772442
AC027288.3,0.0,1.5895898,KCNN4,0.0,3.4652255
PARM1,0.0,1.5295156,AL356356.1,0.0,1.58014
A1BG,0.0,-0.2026543,CASP5,0.0,3.2754502
REEP4,0.0,0.48610175,DISC1FP1,0.0,2.330855
ARMCX5,0.0,1.0337893,IFITM10,0.0,1.0200776
LAT,0.0,1.566513,HLA-DOA,0.0,1.4938838
TEX30,0.0,1.4807403,LINC02664,0.0,0.8484107
LINC00968,0.0,2.3784513,CD320,0.0,-0.35698313
FBLN5,0.0,0.6418441,BATF,0.0,3.3119256
JAZF1-AS1,0.0,2.1734123,ENPEP,0.0,2.9129987
KDR,0.0,2.1621265,C4orf45,0.0,5.9833736
GLMP,0.0,0.38215292,AC064875.1,0.0,1.9413893
CYB561,0.0,1.1984539,SLC24A1,0.0,0.94153935
AL359220.1,0.0,1.87398,IL1A,0.0,2.3918228
GPR176,0.0,1.229587,OGN,0.0,4.4953346
DTHD1,0.0,0.96855295,LINC01482,0.0,1.5056348
PKN3,0.0,1.8954985,BTN2A2,0.0,1.4528137
TMEM45A,0.0,0.35929507,TAGLN,0.0,2.6847365
SLC66A1,0.0,0.8938823,COL8A1,0.0,2.597482
MND1,0.0,1.7424701,KCNJ8,0.0,3.5970533
TMIGD2,0.0,2.6736395,IL1RL1,0.0,3.5494585
TRPC6,0.0,0.41422692,TNFRSF21,0.0,1.192338
PNPO,0.0,0.20065989,CLMP,0.0,1.2824769
BNIP1,0.0,0.6809901,SLC16A10,0.0,2.2364993
IKZF3,0.0,0.6466399,AC009226.1,0.0,-0.6732044
AC106795.3,0.0,0.8302467,CSTF2T,0.0,0.022722425
SLC25A21,0.0,1.1258323,ERVMER61-1,0.0,1.6652168
PRX,0.0,1.7723066,SKAP1,0.0,2.9170609
CLCA4-AS1,0.0,1.7749826,CD2BP2,0.0,1.5334121
FRAS1,0.0,1.365329,PLAC9,0.0,1.8552926
ADORA2A,0.0,2.1534784,SH3GL2,0.0,1.3339642
CLEC17A,0.0,2.3317091,AL158055.1,0.0,0.25314003
PGR,0.0,1.8296833,AC002546.1,0.0,3.1549017
CNGA1,0.0,2.2020383,OMD,0.0,3.203087
TSPAN32,0.0,2.4106314,CALHM6,0.0,6.453611
BICDL1,0.0,1.2490528,AC010978.1,0.0,6.92101
PPP1R14C,0.0,2.3283527,AC007780.1,0.0,2.349076
AC080132.1,0.0,1.8421799,SLC6A17,0.0,4.5327287
SLC16A12,0.0,0.7877941,SF3B5,0.0,2.1415417
HECW1,0.0,0.96434623,AP000943.2,0.0,0.21719441
AC016152.1,0.0,2.2137306,RUNX3,0.0,0.6408839
ZMYND15,0.0,2.1399539,COL6A3,0.0,4.969574
ANKRD44-IT1,0.0,2.1936443,ITGA4,0.0,3.541957
PTPRT,0.0,1.2129949,EIF3G,0.0,1.6328732
ALDH16A1,0.0,0.37620327,TUSC2,0.0,1.9252049
LGALSL-DT,0.0,1.47625,CXCR4,0.0,2.7255673
SRARP,0.0,1.5836028,ASPN,0.0,3.5496297
IGF2BP2,0.0,1.3611058,GNG4,0.0,1.2071509
GABRG3,0.0,1.7802693,NFKB2,0.0,1.7095927
ARHGAP11B,0.0,1.2914094,DNAH14,0.0,3.0651336
AL136441.1,0.0,1.301432,ASS1,0.0,2.039412
PLSCR2,0.0,1.3952223,GLRX5,0.0,1.6986028
AC010186.3,0.0,2.1030798,AC109492.1,0.0,4.6750913
